Player,Team,POS,ATT,YDS,TDS,REC,YDS,TDS,FL,FPTS
James Cook III,BUF,RB1,18.7,94.3,0.8,1.9,15.7,0.1,0,16.2
Christian McCaffrey,SF,RB2,16.8,70.8,0.5,5,43,0.3,0,15.9
Josh Jacobs,GB,RB3,17.9,75.5,0.8,2.4,16.8,0.1,0,14.3
Puka Nacua,LAR,WR1,0.1,0.6,0,7.6,99.2,0.6,0,13.7
Saquon Barkley,PHI,RB4,17.8,81.5,0.5,2.2,16.6,0.1,0,13.4
Kyren Williams,LAR,RB5,16.3,71.2,0.6,1.8,12.1,0.1,0,12.4
Travis Etienne Jr.,JAC,RB6,16,64,0.5,2.1,16.2,0.1,0,11.5
Woody Marks,HOU,RB7,15.5,63.6,0.4,1.7,14.8,0.1,0,10.6
TreVeyon Henderson,NE,RB8,12.3,56.5,0.4,2,15.4,0.1,0,10.5
Rhamondre Stevenson,NE,RB9,12.2,51.6,0.5,2.4,19.3,0.1,0,10.4
D'Andre Swift,CHI,RB10,13.6,58.9,0.4,1.8,15.8,0.1,0,10.4
A.J. Brown,PHI,WR2,0,0,0,5.8,69.9,0.6,0,10.4
Jaylen Warren,PIT,RB11,14.6,62.9,0.3,2.2,17.8,0.1,0,10.2
Omarion Hampton,LAC,RB12,13.7,56.6,0.4,2.4,15.2,0.1,0,10.1
Rico Dowdle,CAR,RB13,12.8,57.3,0.3,2.4,16.6,0.1,0,9.7
Davante Adams,LAR,WR3,0,0,0,4.1,57.2,0.7,0,9.7
Nico Collins,HOU,WR4,0,0,0,4.9,67.5,0.4,0,9
Christian Watson,GB,WR5,0.3,1.3,0,3.7,62.8,0.4,0,8.9
George Kittle,SF,TE1,0.4,1.9,0,5.4,60.1,0.4,0,8.8
Parker Washington,JAC,WR6,0.1,0.6,0,5,60.3,0.4,0,8.4
Kenneth Gainwell,PIT,RB14,7.5,32.2,0.2,4.7,32.1,0.1,0,8.3
Tetairoa McMillan,CAR,WR7,0.1,0.6,0,4.6,58.9,0.4,0,8.3
DK Metcalf,PIT,WR8,0,0,0,4.5,57.9,0.4,0,8.3
Stefon Diggs,NE,WR9,0,0,0,5.1,59.8,0.4,0,8.1
Jakobi Meyers,JAC,WR10,0,0,0,5.3,61.2,0.3,0,8.1
Ladd McConkey,LAC,WR11,0,0,0,4.7,56.9,0.4,0,7.9
DeVonta Smith,PHI,WR12,0,0,0,4.6,56.4,0.3,0,7.6
Quentin Johnston,LAC,WR13,0,0,0,3.9,54.7,0.4,0,7.6
Jauan Jennings,SF,WR14,0,0,0,4.4,52.3,0.4,0,7.6
Hunter Henry,NE,TE2,0,0,0,4.6,50.6,0.4,0,7.5
Jayden Reed,GB,WR15,0.3,1.4,0,3.9,53.6,0.3,0,7.4
Khalil Shakir,BUF,WR16,0,0,0,4.9,53.6,0.3,0,7.2
Blake Corum,LAR,RB15,10.6,44.4,0.3,0.9,6,0,0,7
Colston Loveland,CHI,TE3,0,0,0,4.3,49,0.4,0,7
Brian Thomas Jr.,JAC,WR17,0,0,0,3.7,50.5,0.3,0,6.9
Luther Burden III,CHI,WR18,0.3,1.3,0,4.4,51.9,0.3,0,6.9
Dalton Kincaid,BUF,TE4,0,0,0,4.1,48.5,0.3,0,6.7
Kyle Monangai,CHI,RB16,9.5,40.2,0.3,1,6.6,0,0,6.6
Brenton Strange,JAC,TE5,0,0,0,4.4,44.6,0.3,0,6.4
Dalton Schultz,HOU,TE6,0,0,0,4.4,45.8,0.3,0,6.3
Romeo Doubs,GB,WR19,0,0,0,3.3,42.7,0.3,0,6.1
Chuba Hubbard,CAR,RB17,7.7,31.6,0.2,1.9,13.4,0.1,0,6.1
Kayshon Boutte,NE,WR20,0,0,0,3.1,44.5,0.2,0,5.9
Dallas Goedert,PHI,TE7,0,0,0,4.2,39.4,0.3,0,5.6
Oronde Gadsden II,LAC,TE8,0,0,0,3.7,39.6,0.3,0,5.5
